X,Y
-1.62,-0.594345927
-1.61,-0.527396917
-1.6,-0.463000834
-1.59,-0.401521623
-1.58,-0.343306124
-1.57,-0.288682699
-1.56,-0.237957835
-1.55,-0.191417813
-1.54,-0.149322748
-1.53,-0.11190784
-1.52,-0.079381585
-1.51,-0.051924169
-1.5,-0.029686987
-1.49,-0.012791455
-1.48,-0.00132829
-1.47,4.64E-03
-1.46,5.09E-03
-1.45,2.68E-05
-1.44,-0.010522068
-1.43,-0.026487112
-1.42,-0.047770798
-1.41,-0.074245632
-1.4,-0.105754077
-1.39,-0.142109931
-1.38,-0.18309921
-1.37,-0.228481114
-1.36,-0.277989864
-1.35,-0.331335723
-1.34,-0.388207078
-1.33,-0.448271573
-1.32,-0.511178851
-1.31,-0.576562464
-1.3,-0.644039333
-1.29,-0.713216245
-1.28,-0.78368926
-1.27,-0.85504663
-1.26,-0.926871002
-1.25,-0.998742044
-1.24,-1.07023835
-1.23,-1.14094043
-1.22,-1.21043241
-1.21,-1.27830493
-1.2,-1.34415722
-1.19,-1.40759921
-1.18,-1.4682548
-1.17,-1.52576041
-1.16,-1.57977247
-1.15,-1.62996554
-1.14,-1.67603469
-1.13,-1.71769857
-1.12,-1.75469935
-1.11,-1.78680515
-1.1,-1.81381154
-1.09,-1.83554149
-1.08,-1.85184765
-1.07,-1.86261249
-1.06,-1.86774921
-1.05,-1.86720228
-1.04,-1.86094761
-1.03,-1.84899235
-1.02,-1.83137584
-1.01,-1.80816817
-1,-1.77947092
-0.99,-1.74541593
-0.98,-1.70616412
-0.97,-1.66190612
-0.96,-1.61285937
-0.95,-1.55926859
-0.94,-1.50140309
-0.93,-1.43955564
-0.92,-1.37404156
-0.91,-1.30519557
-0.9,-1.23337078
-0.89,-1.15893781
-0.88,-1.08228016
-0.87,-1.00379395
-0.86,-0.923884809
-0.85,-0.842966378
-0.84,-0.761456788
-0.83,-0.679778755
-0.82,-0.598353863
-0.81,-0.517602444
-0.8,-0.437940687
-0.79,-0.359778166
-0.78,-0.283515155
-0.77,-0.209542423
-0.76,-0.138235867
-0.75,-0.069956541
-0.74,-0.005048096
-0.73,5.62E-02
-0.72,0.113379657
-0.71,0.166315794
-0.7,0.214716852
-0.69,0.258353114
-0.68,0.297021687
-0.67,0.33054781
-0.66,0.358786166
-0.65,0.38162154
-0.64,0.398969173
-0.63,0.410775721
-0.62,0.417019308
-0.61,0.417709529
-0.6,0.412887692
-0.59,0.402626157
-0.58,0.387028575
-0.57,0.36622864
-0.56,0.34038955
-0.55,0.30970329
-0.54,0.274389327
-0.53,0.23469311
-0.52,0.190885961
-0.51,0.143261552
-0.5,9.21E-02
-0.49,3.78E-02
-0.48,-0.019258797
-0.47,-0.078803688
-0.46,-0.140406549
-0.45,-0.203671798
-0.44,-0.268193781
-0.43,-0.333560079
-0.42,-0.399353296
-0.41,-0.4651528
-0.4,-0.530538321
-0.39,-0.595091641
-0.38,-0.658398509
-0.37,-0.720052004
-0.36,-0.779654026
-0.35,-0.836818099
-0.34,-0.8911708
-0.33,-0.94235462
-0.32,-0.990029752
-0.31,-1.03387558
-0.3,-1.07359338
-0.29,-1.10890698
-0.28,-1.13956499
-0.27,-1.16534209
-0.26,-1.18604028
-0.25,-1.20148969
-0.24,-1.21155024
-0.23,-1.21611166
-0.22,-1.21509469
-0.21,-1.20845103
-0.2,-1.19616437
-0.19,-1.17824948
-0.18,-1.15475297
-0.17,-1.12575269
-0.16,-1.09135723
-0.15,-1.05170584
-0.14,-1.00696635
-0.13,-0.957336009
-0.12,-0.903039098
-0.11,-0.844326079
-0.1,-0.781472206
-0.09,-0.71477592
-0.08,-0.644557178
-0.07,-0.571155846
-0.06,-0.494929522
-0.05,-0.416251719
-0.04,-0.335509509
-0.03,-0.253101856
-0.02,-0.169436797
-0.01,-0.084929541
0,0.00E+00
0.01,8.49E-02
0.02,0.169436797
0.03,0.253101856
0.04,0.335509509
0.05,0.416251719
0.06,0.494929522
0.07,0.571155846
0.08,0.644557178
0.09,0.71477592
0.1,0.781472206
0.11,0.844326079
0.12,0.903039098
0.13,0.957336009
0.14,1.00696635
0.15,1.05170584
0.16,1.09135723
0.17,1.12575269
0.18,1.15475297
0.19,1.17824948
0.2,1.19616437
0.21,1.20845103
0.22,1.21509469
0.23,1.21611166
0.24,1.21155024
0.25,1.20148969
0.26,1.18604028
0.27,1.16534209
0.28,1.13956499
0.29,1.10890698
0.3,1.07359338
0.31,1.03387558
0.32,0.990029752
0.33,0.94235462
0.34,0.8911708
0.35,0.836818099
0.36,0.779654026
0.37,0.720052004
0.38,0.658398509
0.39,0.595091641
0.4,0.530538321
0.41,0.4651528
0.42,0.399353296
0.43,0.333560079
0.44,0.268193781
0.45,0.203671798
0.46,0.140406549
0.47,7.88E-02
0.48,1.93E-02
0.49,-3.78E-02
0.5,-9.21E-02
